SampleID,Season,Species,Sex,SVL,Elevation,SeqDepth 
Sg.F.D.1,Dry,Sceloporus grammicus,Female,54,2662,2300
Sg.F.D.2,Dry,Sceloporus grammicus,Female,62,2712,12852
Sg.M.D.3,Dry,Sceloporus grammicus,Male,60,2661,11022
Sg.M.D.4,Dry,Sceloporus grammicus,Male,62,2661,20202
Sg.F.D.5,Dry,Sceloporus grammicus,Female,64,2661,5674
Sg.F.D.6,Dry,Sceloporus grammicus,Female,65,2661,7613
Sg.F.D.7,Dry,Sceloporus grammicus,Female,65,2661,8343
Sg.F.D.8,Dry,Sceloporus grammicus,Female,72,2661,36014
Sg.F.D.9,Dry,Sceloporus grammicus,Female,60,2661,8843
Sg.M.D.10,Dry,Sceloporus grammicus,Male,69,2661,9388
Sg.F.D.11,Dry,Sceloporus grammicus,Female,65,2661,17679
Sg.M.D.12,Dry,Sceloporus grammicus,Male,37,2661,10466
Sg.M.D.13,Dry,Sceloporus grammicus,Male,47,2661,7153
Sg.M.D.14,Dry,Sceloporus grammicus,Male,51,2661,5521
Sg.M.D.15,Dry,Sceloporus grammicus,Male,52,4029,4563
Ss.M.D.16,Dry,Sceloporus spinosus,Male,84,2662,4904
Ss.M.D.17,Dry,Sceloporus spinosus,Male,55,2662,6864
Ss.M.D.18,Dry,Sceloporus spinosus,Male,94,2662,8138
Ss.F.D.19,Dry,Sceloporus spinosus,Female,59,2662,16610
Ss.M.D.20,Dry,Sceloporus spinosus,Male,60,2661,9173
Ss.F.D.21,Dry,Sceloporus spinosus,Female,65,2636,10558
Ss.M.D.22,Dry,Sceloporus spinosus,Male,94,2662,3794
Ss.M.D.23,Dry,Sceloporus spinosus,Male,92,2585,1097
Ss.M.D.24,Dry,Sceloporus spinosus,Male,100,2585,10236
Ss.F.D.25,Dry,Sceloporus spinosus,Female,69,2645,7344
Ss.M.D.26,Dry,Sceloporus spinosus,Male,87,2645,8371
Sa.M.D.27,Dry,Sceloporus aeneus,Male,56,2712,2666
Sa.F.D.28,Dry,Sceloporus aeneus,Female,36,2712,9599
Sa.M.D.29,Dry,Sceloporus aeneus,Male,39,2712,3654
Sa.F.D.30,Dry,Sceloporus aeneus,Female,44,2712,9244
Sa.M.D.31,Dry,Sceloporus aeneus,Male,44,2712,4488
Sa.M.D.32,Dry,Sceloporus aeneus,Male,46,2712,5406
Sa.F.D.33,Dry,Sceloporus aeneus,Female,41,2712,3829
Sa.F.D.35,Dry,Sceloporus aeneus,Female,42,2712,7077
Sa.M.D.36,Dry,Sceloporus aeneus,Male,46,2712,14503
Sb.F.D.37,Dry,Sceloporus bicanthalis,Female,43,4029,1696
Sb.M.D.38,Dry,Sceloporus bicanthalis,Male,37,4029,7196
Sb.F.D.39,Dry,Sceloporus bicanthalis,Female,38,4029,8204
Sb.M.D.41,Dry,Sceloporus bicanthalis,Male,40,4029,1300
Sb.M.D.42,Dry,Sceloporus bicanthalis,Male,43,4029,5339
Sb.M.D.43,Dry,Sceloporus bicanthalis,Male,35,4029,5136
Sb.F.D.44,Dry,Sceloporus bicanthalis,Female,33,4029,9575
Sb.F.D.45,Dry,Sceloporus bicanthalis,Female,39,4029,6259
Sb.M.D.46,Dry,Sceloporus bicanthalis,Male,32,4029,2715
Ss.M.R.52,Rainy,Sceloporus spinosus,Male,59,2648,14582
Ss.F.R.53,Rainy,Sceloporus spinosus,Female,97,2648,7892
Ss.M.R.54,Rainy,Sceloporus spinosus,Male,81,2587,48890
Ss.M.R.55,Rainy,Sceloporus spinosus,Male,94,2587,11924
Ss.F.R.56,Rainy,Sceloporus spinosus,Female,54,2660,31933
Ss.F.R.57,Rainy,Sceloporus spinosus,Female,83,2660,11901
Ss.F.R.58,Rainy,Sceloporus spinosus,Female,98,2660,17579
Ss.M.R.59,Rainy,Sceloporus spinosus,Male,57,2636,9841
Ss.M.R.60,Rainy,Sceloporus spinosus,Male,92,2636,14135
Ss.M.R.61,Rainy,Sceloporus spinosus,Female,89,2587,38009
Sg.M.R.62,Rainy,Sceloporus grammicus,Male,58,2712,15504
Sg.M.R.63,Rainy,Sceloporus grammicus,Male,57,2712,12196
Sg.M.R.64,Rainy,Sceloporus grammicus,Male,57,2712,18541
Sg.M.R.65,Rainy,Sceloporus grammicus,Male,56,2712,9225
Sg.M.R.66,Rainy,Sceloporus grammicus,Male,62,2712,10096
Sg.F.R.67,Rainy,Sceloporus grammicus,Female,59,2662,2265
Sg.F.R.68,Rainy,Sceloporus grammicus,Female,84,2662,22478
Sg.F.R.69,Rainy,Sceloporus grammicus,Female,74,2662,29062
Sg.M.R.70,Rainy,Sceloporus grammicus,Male,54,2662,10860
Sg.M.R.71,Rainy,Sceloporus grammicus,Male,54,2662,4267
Sg.F.R.72,Rainy,Sceloporus grammicus,Female,56,2662,1028
Sg.M.R.74,Rainy,Sceloporus grammicus,Male,50,2712,49333
Sg.M.R.75,Rainy,Sceloporus grammicus,Male,55,2712,7115
Sa.F.R.72,Rainy,Sceloporus aeneus,Female,54,2712,2918
Sa.F.R.73,Rainy,Sceloporus aeneus,Female,49,2712,21280
Sa.M.R.74,Rainy,Sceloporus aeneus,Male,35,2712,18298
Sa.M.R.75,Rainy,Sceloporus aeneus,Male,54,2712,37557
Sa.F.R.76,Rainy,Sceloporus aeneus,Female,38,2712,10409
Sa.M.R.77,Rainy,Sceloporus aeneus,Male,36,2712,76778
Sa.M.R.78,Rainy,Sceloporus aeneus,Male,51,2712,1035
Sa.M.R.79,Rainy,Sceloporus aeneus,Male,40,2712,14398
Sa.F.R.80,Rainy,Sceloporus aeneus,Female,38,2712,14147
Sa.M.R.81,Rainy,Sceloporus aeneus,Male,43,2712,6631
Sa.F.R.82,Rainy,Sceloporus aeneus,Female,55,2712,18736
Sa.F.R.83,Rainy,Sceloporus aeneus,Female,35,2712,19580
Sa.F.R.84,Rainy,Sceloporus aeneus,Female,51,2712,6908
Sb.M.R.85,Rainy,Sceloporus bicanthalis,Male,40,4150,21341
Sb.M.R.86,Rainy,Sceloporus bicanthalis,Male,36,4029,13556
Sb.M.R.87,Rainy,Sceloporus bicanthalis,Male,48,4029,27596
Sb.F.R.88,Rainy,Sceloporus bicanthalis,Female,34,4029,17720
Sb.F.R.89,Rainy,Sceloporus bicanthalis,Female,42,4087,55826
Sb.F.R.90,Rainy,Sceloporus bicanthalis,Female,36,4029,32188
Sb.M.R.91,Rainy,Sceloporus bicanthalis,Male,36,4029,25566
Sb.F.R.92,Rainy,Sceloporus bicanthalis,Female,29,4029,23459
Sb.M.R.93,Rainy,Sceloporus bicanthalis,Male,34,4118,33949
Sb.M.R.94,Rainy,Sceloporus bicanthalis,Male,31,4029,18048
Sb.M.R.95,Rainy,Sceloporus bicanthalis,Male,45,4029,22816
Sb.F.R.96,Rainy,Sceloporus bicanthalis,Female,52,4029,5993
Sb.F.R.97,Rainy,Sceloporus bicanthalis,Female,46,4029,27555
Sb.M.R.98,Rainy,Sceloporus bicanthalis,Male,36,4029,24455
Sb.F.R.99,Rainy,Sceloporus bicanthalis,Female,38,4029,43871